Wall time,Step,Value
1598167700.8531868,306,-0.24089837074279785
1598167702.9452646,307,-0.27268344163894653
1598167710.7006145,311,-0.3193432092666626
1598167712.6261804,312,-0.34848976135253906
1598167718.9065475,314,-0.4302997887134552
1598167720.824937,315,-0.4634963572025299
1598167722.702221,316,-0.5099177360534668
1598167726.9632838,318,-0.5410564541816711
1598167731.993423,319,-0.5739324688911438
1598167733.8726776,320,-0.5931216478347778
1598167735.8654664,321,-0.5883963704109192
1598167743.7185466,325,-0.7056015729904175
1598167761.9060268,334,-0.7889953851699829
1598167765.9061997,335,-0.8380251526832581
1598167771.8721988,337,-0.8714250922203064
1598167777.8535428,340,-0.9249730110168457
1598167779.736552,341,-0.9618657827377319
1598167783.9004605,343,-1.0127449035644531
1598167787.8078372,345,-1.0705597400665283
1598167790.4695299,346,-1.0331554412841797
1598167794.2223725,348,-1.0604127645492554
1598167798.009642,350,-1.0623607635498047
1598167799.9694736,351,-1.0715045928955078
1598167805.6395223,354,-1.0526137351989746
1598167807.569017,355,-1.091147541999817
1598167809.7462242,356,-1.1073718070983887
1598167811.7040324,357,-1.1368534564971924
1598167813.578438,358,-1.1323132514953613
1598167819.5337634,361,-1.1775884628295898
1598167821.7785354,362,-1.1849675178527832
1598167825.8008592,364,-1.190343976020813
1598167829.6301332,366,-1.1670300960540771
1598167831.5308082,367,-1.188050627708435
1598167833.4311225,368,-1.2093747854232788
1598167835.6056273,369,-1.2100332975387573
1598167841.4858277,372,-1.2012193202972412
1598167843.605442,373,-1.1952040195465088
1598167845.5562022,374,-1.1836671829223633
1598167847.4686503,375,-1.151127815246582
1598167851.7465684,377,-1.2149624824523926
1598167857.4218102,380,-1.2056771516799927
1598167867.4335132,385,-1.1934531927108765
1598167869.4174695,386,-1.1562951803207397
1598167873.4255688,387,-1.1377748250961304
1598167875.3022609,388,-1.1585384607315063
1598167877.178944,389,-1.1885422468185425
1598167882.6586077,390,-1.1829557418823242
1598167896.976584,395,-1.1904587745666504
1598167914.9549353,403,-1.233092188835144
1598167920.881001,406,-1.2459862232208252
1598167922.7711828,407,-1.2399871349334717
1598167938.3526185,414,-1.2817195653915405
1598167947.0114064,417,-1.241852879524231
1598167951.165419,419,-1.2039341926574707
1598167953.0785007,420,-1.2554658651351929
1598167957.20385,421,-1.2659366130828857
1598167964.8074305,425,-1.2262357473373413
1598167966.7385948,426,-1.2466912269592285
1598167968.9014294,427,-1.213731050491333
1598167975.129653,430,-1.251151204109192
1598167977.1683714,431,-1.2522287368774414
1598167983.004782,434,-1.210219383239746
1598167991.82525,438,-1.317063808441162
1598167995.908165,440,-1.2887451648712158
1598167999.8483944,442,-1.239769458770752
1598168001.754185,443,-1.267844557762146
1598168003.6623447,444,-1.251667857170105
1598168005.9123936,445,-1.2377134561538696
1598168010.3452885,447,-1.2489030361175537
1598168014.1407175,449,-1.3082785606384277
1598168017.9724536,451,-1.2674506902694702
1598168023.7308524,454,-1.2955412864685059
1598168025.6429653,455,-1.2871516942977905
1598168027.5557706,456,-1.2786989212036133
1598168031.7458606,458,-1.2899004220962524
1598168033.6659367,459,-1.2418277263641357
1598168035.6009958,460,-1.2609448432922363
1598168041.938349,463,-1.2202261686325073
1598168045.7645478,465,-1.2685556411743164
1598168047.6536205,466,-1.3010681867599487
1598168051.725054,468,-1.2198283672332764
1598168053.635946,469,-1.2137219905853271
1598168059.3631082,472,-1.3109970092773438
1598168069.7363083,477,-1.1844983100891113
1598168071.6546655,478,-1.209364652633667
1598168073.5777712,479,-1.205371618270874
1598168077.423588,481,-1.2205711603164673
1598168079.4160461,482,-1.2213126420974731
1598168083.2651691,484,-1.2677350044250488
1598168087.179395,486,-1.1922792196273804
1598168089.4512439,487,-1.1979891061782837
1598168091.36679,488,-1.2076385021209717
1598168095.773439,489,-1.189009428024292
1598168102.4025145,491,-1.1288543939590454
1598168104.3303516,492,-1.1734833717346191
1598168118.1911328,499,-1.1571027040481567
