Wall time,Step,Value
1596706161.0347388,1,-0.06436249613761902
1596706186.7335148,2,-0.07372555881738663
1596706212.057558,3,-0.078777015209198
1596706234.270493,4,-0.07862045615911484
1596706259.6173754,5,-0.08134157955646515
1596706284.0769334,6,-0.08345059305429459
1596706312.6089995,7,-0.08768121153116226
1596706337.2380283,8,-0.09357909858226776
1596706366.5562387,9,-0.09374219924211502
1596706397.216748,10,-0.09592697024345398
1596706425.9469454,11,-0.10138749331235886
1596706458.94862,12,-0.10414917021989822
1596706483.4541228,13,-0.10584552586078644
1596706505.5900197,14,-0.10457450151443481
1596706527.5579584,15,-0.11245179176330566
1596706550.4059796,16,-0.1103166863322258
1596706573.4614751,17,-0.11078951507806778
1596706596.5739162,18,-0.1206212192773819
1596706619.5343354,19,-0.11745081841945648
1596706642.963104,20,-0.12037376314401627
1596706666.5642757,21,-0.12435463815927505
1596706690.5816598,22,-0.12663669884204865
1596706714.5899856,23,-0.1275043934583664
1596706739.060116,24,-0.13099588453769684
1596706763.6631505,25,-0.13354496657848358
1596706788.1562479,26,-0.13420584797859192
1596706812.9575324,27,-0.13922105729579926
1596706844.021532,28,-0.1386437714099884
1596706875.434011,29,-0.13891460001468658
1596706905.9336548,30,-0.1423281580209732
1596706935.6813529,31,-0.150090292096138
1596706963.2194705,32,-0.15193088352680206
1596706991.8553524,33,-0.15281862020492554
1596707020.9488873,34,-0.15162372589111328
1596707053.3527572,35,-0.15817806124687195
1596707082.8471863,36,-0.16109797358512878
1596707116.4405694,37,-0.16067585349082947
1596707143.2897098,38,-0.16887328028678894
1596707172.1881669,39,-0.16566872596740723
1596707201.4129431,40,-0.1680465191602707
1596707227.2275934,41,-0.17389407753944397
1596707253.7846053,42,-0.17549732327461243
1596707280.1862702,43,-0.18095794320106506
1596707307.1934378,44,-0.18129876255989075
1596707334.3414102,45,-0.18653489649295807
1596707360.606892,46,-0.19290941953659058
1596707387.3715048,47,-0.19827011227607727
1596707414.4715648,48,-0.19450195133686066
1596707441.1086946,49,-0.20275218784809113
1596707468.5241566,50,-0.20433039963245392
1596707496.2760684,51,-0.21114309132099152
1596707523.8600967,52,-0.20891207456588745
1596707551.2984889,53,-0.21534527838230133
1596707578.8433814,54,-0.22099249064922333
1596707606.641183,55,-0.22876885533332825
1596707634.500074,56,-0.22403469681739807
1596707662.2871964,57,-0.24335569143295288
1596707690.1426916,58,-0.24137184023857117
1596707717.9205353,59,-0.24471846222877502
1596707746.1760724,60,-0.2562326192855835
1596707773.986649,61,-0.261735737323761
1596707801.6947339,62,-0.2641719877719879
1596707829.6520486,63,-0.27431443333625793
1596707857.2822962,64,-0.2702033519744873
1596707885.1027696,65,-0.3005092740058899
1596707912.7776465,66,-0.3031717538833618
1596707940.8763814,67,-0.3231876492500305
1596707968.6906004,68,-0.3037246763706207
1596707996.406458,69,-0.3294171690940857
1596708024.3344705,70,-0.3364678621292114
1596708052.5203881,71,-0.36306145787239075
1596708081.0719237,72,-0.3706111013889313
1596708110.139508,73,-0.37997737526893616
1596708139.1201196,74,-0.39177125692367554
1596708168.5311232,75,-0.41406774520874023
1596708197.8211818,76,-0.4103797972202301
1596708227.1552186,77,-0.4507259428501129
1596708256.6096888,78,-0.4453916847705841
1596708285.8597176,79,-0.46651723980903625
1596708315.492512,80,-0.5050184726715088
1596708344.6898165,81,-0.5102267265319824
1596708373.7484984,82,-0.5187680721282959
1596708402.8026989,83,-0.5512186884880066
1596708431.8099892,84,-0.5917776226997375
1596708460.7380133,85,-0.6011121273040771
1596708489.8141842,86,-0.6213366389274597
1596708518.7761362,87,-0.6582359075546265
1596708548.4270082,88,-0.6828343272209167
1596708577.3458316,89,-0.6993134617805481
1596708606.5656054,90,-0.7319831252098083
1596708635.7036598,91,-0.7589259743690491
1596708667.6577682,92,-0.8022646307945251
1596708696.7574148,93,-0.8032412528991699
1596708725.9047773,94,-0.8589281439781189
1596708754.846712,95,-0.8803709745407104
1596708783.9564505,96,-0.9214597940444946
1596708812.796432,97,-0.9362578988075256
1596708841.9110382,98,-0.9902998208999634
1596708870.691389,99,-1.01166832447052
1596708899.9621918,100,-1.0447508096694946
1596708928.9712794,101,-1.0717869997024536
1596708963.3906639,102,-1.0754384994506836
1596708995.456927,103,-1.1273934841156006
1596709032.79015,104,-1.189873218536377
1596709063.6704452,105,-1.2328310012817383
1596709092.4351091,106,-1.2311468124389648
1596709121.2184143,107,-1.3045952320098877
1596709150.1114433,108,-1.3123701810836792
1596709180.2712858,109,-1.3761112689971924
1596709214.8165154,110,-1.3868871927261353
1596709252.7275655,111,-1.4904462099075317
1596709286.6181743,112,-1.5028671026229858
1596709315.461471,113,-1.5367575883865356
1596709344.209812,114,-1.564590334892273
1596709372.9944322,115,-1.628236174583435
1596709402.055406,116,-1.6425375938415527
1596709430.836464,117,-1.6872256994247437
1596709459.6200664,118,-1.6829077005386353
1596709488.2722993,119,-1.7558194398880005
1596709517.3307543,120,-1.8224973678588867
1596709546.0373812,121,-1.8770970106124878
1596709574.8951833,122,-1.8489487171173096
1596709603.419047,123,-1.879839539527893
1596709632.0277467,124,-1.9699069261550903
1596709660.701352,125,-2.0098087787628174
1596709689.2830882,126,-2.026853084564209
1596709717.838704,127,-2.0963549613952637
1596709746.8450208,128,-2.1017675399780273
1596709775.285941,129,-2.1615302562713623
1596709803.6351538,130,-2.1961002349853516
1596709832.2022152,131,-2.2157137393951416
1596709860.6239882,132,-2.287999153137207
1596709889.1107132,133,-2.305360794067383
1596709917.5694504,134,-2.346343994140625
1596709946.0886478,135,-2.372999668121338
1596709974.5252097,136,-2.4366390705108643
1596710002.9422183,137,-2.4418485164642334
1596710031.8746104,138,-2.4662041664123535
1596710060.5290947,139,-2.526761293411255
1596710089.536301,140,-2.5549988746643066
1596710118.0834122,141,-2.598379135131836
1596710146.4730477,142,-2.6259970664978027
1596710174.8492045,143,-2.652076244354248
1596710203.3151064,144,-2.67289137840271
1596710231.7631514,145,-2.7407515048980713
1596710260.16214,146,-2.7609729766845703
1596710288.473239,147,-2.7599148750305176
1596710316.65729,148,-2.829230546951294
1596710345.4060042,149,-2.8938581943511963
1596710373.71968,150,-2.916705369949341
1596710402.1904752,151,-2.904719114303589
1596710430.553062,152,-2.9841902256011963
1596710458.8335578,153,-2.999852418899536
1596710487.3331285,154,-2.966175079345703
1596710515.7464635,155,-3.061192750930786
1596710543.909628,156,-3.102280378341675
1596710572.2202616,157,-3.10752534866333
1596710600.754058,158,-3.102598190307617
1596710629.1036372,159,-3.1676697731018066
1596710658.1274178,160,-3.1926510334014893
1596710686.4001603,161,-3.2092580795288086
1596710714.8432734,162,-3.240607261657715
1596710743.558611,163,-3.24800181388855
1596710772.2509742,164,-3.296359062194824
1596710800.9925945,165,-3.3049511909484863
1596710829.9227219,166,-3.373957395553589
1596710858.96395,167,-3.3805582523345947
1596710888.0359273,168,-3.375638961791992
1596710919.4186444,169,-3.374863386154175
1596710953.194907,170,-3.427321195602417
1596710990.0176587,171,-3.4626991748809814
1596711030.6909492,172,-3.51163387298584
1596711066.0917795,173,-3.5293021202087402
1596711103.3872154,174,-3.5649590492248535
1596711143.387162,175,-3.5410239696502686
1596711178.7103732,176,-3.61745285987854
1596711216.1021967,177,-3.5912842750549316
1596711252.9600396,178,-3.630112648010254
1596711289.5060487,179,-3.6687347888946533
1596711330.761726,180,-3.65586519241333
1596711369.1250486,181,-3.63968825340271
1596711404.4293718,182,-3.6714980602264404
1596711439.4725184,183,-3.723101854324341
1596711474.60379,184,-3.7597756385803223
1596711512.515163,185,-3.7743422985076904
1596711548.4563992,186,-3.7654848098754883
1596711583.8163292,187,-3.764080047607422
1596711622.7447357,188,-3.8185486793518066
1596711658.7721894,189,-3.8380589485168457
1596711694.279776,190,-3.8748726844787598
1596711731.9000723,191,-3.8482484817504883
1596711767.583237,192,-3.8632712364196777
1596711805.926241,193,-3.9323716163635254
1596711839.022348,194,-3.9314417839050293
1596711870.0966203,195,-3.939716339111328
1596711907.8950737,196,-3.936033010482788
1596711949.6557915,197,-3.970541000366211
1596711987.4478555,198,-4.006601810455322
1596712026.9364831,199,-4.022874355316162
1596712062.8620372,200,-4.015005111694336
1596712098.4461377,201,-3.990640163421631
1596712131.2165592,202,-4.062777042388916
1596712162.2179444,203,-4.063884735107422
1596712193.6951668,204,-4.063320159912109
1596712231.3990602,205,-4.068477630615234
1596712261.9647155,206,-4.127020835876465
1596712293.583256,207,-4.136782169342041
1596712323.5444906,208,-4.15123176574707
1596712352.6667109,209,-4.2129807472229
1596712381.93804,210,-4.160444259643555
1596712411.171795,211,-4.2038187980651855
1596712441.128584,212,-4.181894302368164
1596712471.711214,213,-4.19813871383667
1596712502.4682677,214,-4.24332332611084
1596712531.7847557,215,-4.23015832901001
1596712561.370934,216,-4.2130126953125
1596712590.78196,217,-4.304310321807861
1596712620.4036644,218,-4.260071754455566
1596712649.9556687,219,-4.306819438934326
1596712679.9069192,220,-4.328649520874023
1596712709.4898992,221,-4.345913887023926
1596712739.3499978,222,-4.304952621459961
1596712769.1061544,223,-4.361432075500488
1596712798.7210135,224,-4.370061874389648
1596712828.5897033,225,-4.369029521942139
1596712858.2489479,226,-4.415980815887451
1596712888.5831766,227,-4.4640116691589355
1596712918.3706493,228,-4.433084011077881
1596712948.480226,229,-4.430370330810547
1596712978.971277,230,-4.459733963012695
