Wall time,Step,Value
1591103536.5039256,1,0.0
1591103537.3245194,2,0.0
1591103538.1075408,3,-2.0
1591103538.903195,4,1.0
1591103539.6918046,5,3.0
1591103540.47867,6,1.0
1591103541.2792864,7,2.0
1591103542.0253313,8,0.0
1591103542.792692,9,1.0
1591103543.5881658,10,0.0
1591103544.3362875,11,1.0
1591103545.1051779,12,1.0
1591103545.8718166,13,0.0
1591103546.7616243,14,-1.0
1591103547.636954,15,-1.0
1591103548.5466585,16,2.0
1591103549.48415,17,0.0
1591103550.384609,18,3.0
1591103551.1660547,19,-1.0
1591103551.9428449,20,1.0
1591103552.7069876,21,-1.0
1591103553.4981685,22,0.0
1591103554.4200966,23,-1.0
1591103555.3073945,24,-3.0
1591103556.1334798,25,0.0
1591103556.903856,26,3.0
1591103557.713776,27,-1.0
1591103558.481933,28,0.0
1591103559.2547884,29,0.0
1591103560.0279393,30,0.0
1591103560.8894768,31,-1.0
1591103561.748137,32,1.0
1591103562.6553369,33,0.0
1591103563.5424263,34,2.0
1591103564.3926208,35,-1.0
1591103565.231412,36,2.0
1591103566.039845,37,2.0
1591103566.8395717,38,1.0
1591103567.6203127,39,1.0
1591103568.4069202,40,0.0
1591103569.2060099,41,5.0
1591103570.019268,42,0.0
1591103570.8269787,43,1.0
1591103571.6322682,44,0.0
1591103572.4269958,45,-4.0
1591103573.244984,46,-1.0
1591103574.0465558,47,4.0
1591103574.8384182,48,1.0
1591103575.6327467,49,1.0
1591103576.4208615,50,2.0
1591103577.2185295,51,1.0
1591103578.0090218,52,1.0
1591103578.7957232,53,0.0
1591103579.6176279,54,2.0
1591103580.4223957,55,0.0
1591103581.2424705,56,1.0
1591103582.08963,57,4.0
1591103582.9209945,58,3.0
1591103583.8362868,59,0.0
1591103584.7640584,60,0.0
1591103585.665901,61,0.0
1591103586.5112803,62,2.0
1591103587.3375182,63,1.0
1591103588.1388428,64,1.0
1591103588.9307334,65,1.0
1591103589.7450984,66,2.0
1591103590.5498822,67,1.0
1591103591.343508,68,4.0
1591103592.1550236,69,1.0
1591103592.9665062,70,0.0
1591103593.765496,71,0.0
1591103594.5740724,72,-1.0
1591103595.4340324,73,0.0
1591103596.2472746,74,1.0
1591103597.0752587,75,0.0
1591103597.997546,76,0.0
1591103598.8778324,77,0.0
1591103599.9016962,78,3.0
1591103600.860844,79,1.0
1591103601.7312472,80,4.0
1591103602.5758934,81,1.0
1591103603.4622831,82,5.0
1591103604.3212783,83,1.0
1591103605.1721725,84,0.0
1591103605.9882445,85,1.0
1591103606.8331919,86,2.0
1591103607.6659465,87,1.0
1591103608.5308743,88,1.0
1591103609.5417492,89,1.0
1591103610.426975,90,3.0
1591103611.3408446,91,1.0
1591103612.2895103,92,1.0
1591103613.1983511,93,0.0
1591103614.0940878,94,2.0
1591103614.914458,95,1.0
1591103615.7343795,96,1.0
1591103616.5564153,97,2.0
1591103617.375907,98,0.0
1591103618.197533,99,1.0
1591103619.017323,100,1.0
1591103619.8375404,101,1.0
1591103620.6595168,102,3.0
1591103621.495977,103,3.0
1591103622.312974,104,0.0
1591103623.162875,105,1.0
1591103624.0046537,106,-1.0
1591103624.9504843,107,1.0
1591103625.8454635,108,2.0
1591103626.6784568,109,0.0
1591103627.6997945,110,0.0
1591103628.782406,111,1.0
1591103629.6954195,112,5.0
1591103630.5406883,113,6.0
1591103631.4167058,114,1.0
1591103632.3395374,115,4.0
1591103633.193639,116,2.0
1591103634.0769866,117,7.0
1591103634.9974937,118,3.0
1591103635.886914,119,6.0
1591103636.8100183,120,5.0
1591103637.6730936,121,1.0
1591103638.5280766,122,5.0
1591103639.3415086,123,2.0
1591103640.1519055,124,2.0
1591103641.036765,125,2.0
1591103641.867309,126,1.0
1591103642.6752405,127,4.0
1591103643.4900143,128,4.0
1591103644.2913408,129,2.0
1591103645.1014311,130,5.0
1591103645.9172037,131,2.0
1591103646.7295518,132,0.0
1591103647.5439842,133,2.0
1591103648.357994,134,2.0
1591103649.1716285,135,4.0
1591103649.9879336,136,9.0
1591103650.7962122,137,4.0
1591103651.6110508,138,3.0
1591103652.4555464,139,3.0
1591103653.297838,140,2.0
1591103654.212538,141,5.0
1591103655.1351573,142,7.0
1591103655.965282,143,4.0
1591103656.7891817,144,3.0
1591103657.6130931,145,5.0
1591103658.4474065,146,3.0
1591103659.2621357,147,3.0
1591103660.0784814,148,-1.0
1591103660.8894503,149,2.0
1591103661.715028,150,8.0
1591103662.5345454,151,-1.0
1591103663.3585587,152,4.0
1591103664.2706711,153,6.0
1591103665.1820655,154,-1.0
1591103666.0394018,155,-1.0
1591103666.9670608,156,9.0
1591103667.8825097,157,8.0
1591103668.7822855,158,2.0
1591103669.616499,159,4.0
1591103670.4579108,160,2.0
1591103671.30989,161,2.0
1591103672.1528556,162,7.0
1591103672.9853976,163,5.0
1591103673.8297079,164,7.0
1591103674.6662772,165,4.0
1591103675.5057886,166,3.0
1591103676.36913,167,7.0
1591103677.2468102,168,8.0
1591103678.1115296,169,4.0
1591103679.008236,170,4.0
1591103679.9036508,171,4.0
1591103680.7903988,172,8.0
1591103681.8085763,173,4.0
1591103683.038511,174,5.0
1591103684.3447435,175,8.0
1591103685.5578969,176,2.0
1591103686.6679504,177,2.0
1591103687.686484,178,3.0
1591103688.603347,179,1.0
1591103689.5222807,180,8.0
1591103690.4482143,181,5.0
1591103691.3727942,182,1.0
1591103692.3273034,183,4.0
1591103693.2868133,184,9.0
1591103694.1958544,185,6.0
1591103695.097257,186,12.0
1591103695.9959397,187,8.0
1591103696.891944,188,8.0
1591103697.8127146,189,10.0
1591103698.731233,190,5.0
1591103699.7692716,191,8.0
1591103700.7229943,192,8.0
1591103701.7473009,193,5.0
1591103702.8049629,194,7.0
1591103703.9177125,195,4.0
1591103704.9013846,196,8.0
1591103705.8785396,197,2.0
1591103706.8551414,198,8.0
1591103707.8448477,199,8.0
1591103708.8558044,200,8.0
1591103709.8492541,201,7.0
1591103710.80174,202,4.0
1591103711.7595751,203,-1.0
1591103712.7649715,204,10.0
1591103713.743396,205,5.0
1591103714.766234,206,11.0
1591103715.7695827,207,7.0
1591103716.7312384,208,8.0
1591103717.6897657,209,7.0
1591103718.652241,210,10.0
1591103719.6675565,211,6.0
1591103720.6990979,212,12.0
1591103721.6787267,213,9.0
1591103722.6291351,214,8.0
1591103723.591298,215,9.0
1591103724.7445283,216,6.0
1591103725.861632,217,12.0
1591103726.9927251,218,7.0
1591103728.05933,219,10.0
1591103729.053057,220,8.0
1591103730.197821,221,8.0
1591103731.2455242,222,6.0
1591103732.3262756,223,11.0
1591103733.3957934,224,2.0
1591103734.3402884,225,11.0
1591103735.306452,226,7.0
1591103736.2960246,227,7.0
1591103737.2071786,228,10.0
1591103738.1428459,229,11.0
1591103739.2319417,230,3.0
1591103740.2695878,231,11.0
1591103741.2632523,232,5.0
1591103742.2615814,233,7.0
1591103743.2536352,234,15.0
1591103744.25297,235,6.0
1591103745.252477,236,10.0
1591103746.2402802,237,7.0
1591103747.2506387,238,8.0
1591103748.2383637,239,6.0
1591103749.232513,240,10.0
1591103750.2115905,241,5.0
1591103751.208581,242,8.0
1591103752.2657914,243,4.0
1591103753.2729843,244,8.0
1591103754.2399008,245,7.0
1591103755.1882634,246,7.0
1591103756.1910648,247,5.0
1591103757.1583762,248,12.0
1591103758.10927,249,6.0
1591103759.0583787,250,10.0
1591103759.9995782,251,8.0
1591103760.9567173,252,10.0
1591103761.9801528,253,7.0
1591103762.9555159,254,10.0
1591103763.9390469,255,8.0
1591103764.9050694,256,9.0
1591103765.867633,257,13.0
1591103766.8279638,258,10.0
1591103767.8283532,259,13.0
1591103768.8272097,260,6.0
1591103769.8099093,261,13.0
1591103770.7773614,262,12.0
1591103771.7351627,263,9.0
1591103772.7010133,264,8.0
