Wall time,Step,Value
1591113739.2653773,1,0.0
1591113740.1403325,2,0.0
1591113741.0492241,3,0.0
1591113741.8877954,4,0.0
1591113742.7500181,5,0.0
1591113743.5750644,6,-1.0
1591113744.4143915,7,-1.0
1591113745.1935868,8,1.0
1591113746.0217333,9,1.0
1591113746.919403,10,1.0
1591113747.722417,11,0.0
1591113748.5805776,12,0.0
1591113749.4167988,13,1.0
1591113750.2991226,14,-1.0
1591113751.254343,15,1.0
1591113752.1288147,16,-1.0
1591113752.9625478,17,0.0
1591113753.7347333,18,0.0
1591113754.5387108,19,-1.0
1591113755.3101523,20,0.0
1591113756.0746498,21,-1.0
1591113756.8548758,22,1.0
1591113757.6215909,23,0.0
1591113758.4829562,24,-1.0
1591113759.292101,25,0.0
1591113760.189044,26,-1.0
1591113761.0813046,27,-1.0
1591113761.9076653,28,-1.0
1591113762.6745493,29,1.0
1591113763.4688623,30,0.0
1591113764.2593024,31,0.0
1591113765.0563397,32,0.0
1591113765.841055,33,2.0
1591113766.6092932,34,0.0
1591113767.5207922,35,0.0
1591113768.425956,36,-1.0
1591113769.1540353,37,1.0
1591113769.8744674,38,3.0
1591113770.5966582,39,0.0
1591113771.3187869,40,0.0
1591113772.0513825,41,0.0
1591113772.7909164,42,3.0
1591113773.5982854,43,1.0
1591113774.329467,44,0.0
1591113775.15834,45,1.0
1591113775.998482,46,2.0
1591113776.7376797,47,2.0
1591113777.4999506,48,0.0
1591113778.3232372,49,1.0
1591113779.1407404,50,3.0
1591113780.0084102,51,-1.0
1591113780.7532709,52,1.0
1591113781.516481,53,-1.0
1591113782.4181828,54,2.0
1591113783.4234483,55,3.0
1591113784.2858906,56,0.0
1591113785.122104,57,3.0
1591113785.9733796,58,2.0
1591113786.8518527,59,-1.0
1591113787.6672432,60,-1.0
1591113788.4454205,61,-1.0
1591113789.2540636,62,2.0
1591113790.1137083,63,1.0
1591113790.8899202,64,0.0
1591113791.6714065,65,1.0
1591113792.4517264,66,1.0
1591113793.2873077,67,0.0
1591113794.1492903,68,2.0
1591113795.0178108,69,0.0
1591113795.7999532,70,1.0
1591113796.6819255,71,1.0
1591113797.6117127,72,0.0
1591113798.4687266,73,0.0
1591113799.3102815,74,0.0
1591113800.2250304,75,1.0
1591113801.111539,76,-2.0
1591113802.0168738,77,1.0
1591113802.8763838,78,3.0
1591113803.7503579,79,0.0
1591113804.6153698,80,2.0
1591113805.5508177,81,2.0
1591113806.3759787,82,3.0
1591113807.1542559,83,1.0
1591113807.935389,84,3.0
1591113808.6744432,85,2.0
1591113809.471034,86,2.0
1591113810.2869842,87,3.0
1591113811.0892909,88,5.0
1591113811.8955514,89,0.0
1591113812.720268,90,1.0
1591113813.5701044,91,0.0
1591113814.3966424,92,7.0
1591113815.287194,93,2.0
1591113816.1508381,94,1.0
1591113816.987219,95,0.0
1591113817.8253138,96,3.0
1591113818.6989613,97,0.0
1591113819.5606904,98,1.0
1591113820.382105,99,2.0
1591113821.2944016,100,2.0
1591113822.0609763,101,-1.0
1591113822.8710084,102,1.0
1591113823.798303,103,2.0
1591113824.7992868,104,2.0
1591113825.6149013,105,2.0
1591113826.4333532,106,0.0
1591113827.2110615,107,2.0
1591113827.97816,108,0.0
1591113828.7539718,109,3.0
1591113829.5283256,110,5.0
1591113830.301478,111,2.0
1591113831.2281768,112,1.0
1591113832.0881805,113,1.0
1591113832.987559,114,2.0
1591113833.810533,115,2.0
1591113834.5862503,116,6.0
1591113835.3710084,117,1.0
1591113836.150936,118,1.0
1591113836.9281304,119,4.0
1591113837.727061,120,4.0
1591113838.5498557,121,0.0
1591113839.475305,122,4.0
1591113840.3237169,123,6.0
1591113841.2436395,124,1.0
1591113842.2259293,125,3.0
1591113843.111567,126,2.0
1591113844.0647972,127,1.0
1591113844.946431,128,-2.0
1591113845.8513188,129,0.0
1591113846.7246394,130,2.0
1591113847.5986297,131,2.0
1591113848.4016528,132,1.0
1591113849.1970863,133,4.0
1591113849.9998536,134,1.0
1591113850.8000717,135,4.0
1591113851.6621954,136,-1.0
1591113852.4678938,137,3.0
1591113853.2751954,138,6.0
1591113854.1148157,139,3.0
1591113855.0238583,140,4.0
1591113855.910627,141,2.0
1591113856.8641045,142,3.0
1591113857.7602515,143,5.0
1591113858.6883235,144,1.0
1591113859.5850902,145,3.0
1591113860.5755768,146,3.0
1591113861.5363884,147,2.0
1591113862.3912172,148,4.0
1591113863.2510908,149,0.0
1591113864.119226,150,7.0
1591113864.9555984,151,-1.0
1591113865.7951353,152,3.0
1591113866.721991,153,4.0
1591113867.7300036,154,4.0
1591113868.7826865,155,1.0
1591113869.9065583,156,1.0
1591113870.8768716,157,4.0
1591113871.8328254,158,4.0
1591113872.7742164,159,5.0
1591113873.7144604,160,1.0
1591113874.663607,161,-1.0
1591113875.67214,162,1.0
1591113876.5914233,163,3.0
1591113877.4577487,164,3.0
1591113878.3563511,165,1.0
1591113879.247887,166,5.0
1591113880.1702514,167,3.0
1591113881.1679165,168,7.0
1591113882.0665488,169,1.0
1591113882.915292,170,11.0
1591113883.8570042,171,2.0
1591113884.7715712,172,3.0
1591113885.649521,173,7.0
1591113886.5202956,174,5.0
1591113887.4751706,175,6.0
1591113888.4300709,176,5.0
1591113889.3426797,177,7.0
1591113890.2989655,178,4.0
1591113891.2008245,179,5.0
1591113892.0313067,180,3.0
1591113892.8562558,181,6.0
1591113893.6857002,182,8.0
1591113894.570505,183,6.0
1591113895.506376,184,11.0
1591113896.4265506,185,-1.0
1591113897.4134772,186,4.0
1591113898.4049144,187,4.0
1591113899.3585637,188,3.0
1591113900.315882,189,5.0
1591113901.1620371,190,4.0
1591113901.9929209,191,0.0
1591113902.7800837,192,7.0
1591113903.6826441,193,8.0
1591113904.5229912,194,7.0
1591113905.5853493,195,8.0
1591113906.5519452,196,6.0
1591113907.3931167,197,1.0
1591113908.299111,198,4.0
1591113909.2253113,199,8.0
1591113910.095087,200,10.0
1591113910.9059925,201,2.0
1591113911.7260268,202,0.0
1591113912.5195684,203,3.0
1591113913.435442,204,0.0
1591113914.335658,205,6.0
1591113915.2698164,206,5.0
1591113916.1830795,207,6.0
1591113917.0465043,208,6.0
1591113917.9206283,209,7.0
1591113918.7458417,210,6.0
1591113919.5324726,211,1.0
1591113920.3164425,212,4.0
1591113921.2693133,213,8.0
1591113922.202565,214,2.0
1591113923.0851254,215,6.0
1591113923.9115472,216,4.0
1591113924.792134,217,3.0
1591113925.6619263,218,8.0
1591113926.6942606,219,8.0
1591113927.75827,220,6.0
1591113928.7706456,221,8.0
1591113929.698804,222,6.0
1591113930.6345236,223,8.0
1591113931.5528765,224,10.0
1591113932.4648948,225,5.0
1591113933.3995368,226,3.0
1591113934.303024,227,5.0
1591113935.2752168,228,6.0
1591113936.221273,229,2.0
1591113937.2065077,230,12.0
1591113938.0497541,231,7.0
1591113938.9843962,232,3.0
1591113939.9912887,233,6.0
1591113940.902197,234,8.0
1591113941.7407126,235,6.0
1591113942.5547185,236,8.0
1591113943.3773181,237,1.0
1591113944.2095098,238,9.0
1591113945.2146735,239,8.0
1591113946.162444,240,6.0
1591113947.0376313,241,13.0
1591113947.8873167,242,2.0
1591113948.719158,243,5.0
1591113949.5597744,244,2.0
1591113950.4712546,245,12.0
1591113951.4155383,246,11.0
1591113952.3832495,247,5.0
1591113953.2449267,248,15.0
1591113954.087868,249,11.0
1591113955.0202022,250,11.0
1591113955.8849394,251,9.0
1591113956.8668644,252,8.0
1591113957.769634,253,5.0
1591113958.5934691,254,5.0
1591113959.475674,255,12.0
1591113960.406051,256,9.0
1591113961.3311687,257,11.0
1591113962.1742704,258,15.0
1591113962.9899867,259,11.0
1591113963.8663445,260,8.0
1591113964.8653715,261,9.0
1591113965.8541567,262,6.0
1591113966.7818873,263,6.0
1591113967.6787384,264,2.0
1591113968.6451848,265,9.0
1591113969.561851,266,4.0
1591113970.5169451,267,10.0
1591113971.4217277,268,3.0
1591113972.2864695,269,9.0
1591113973.1688051,270,12.0
1591113974.0167348,271,4.0
1591113974.9963555,272,11.0
1591113975.9939084,273,6.0
1591113976.953943,274,14.0
1591113977.8897562,275,3.0
1591113978.7883434,276,9.0
1591113979.6228805,277,13.0
1591113980.435714,278,2.0
1591113981.3530467,279,4.0
1591113982.2858708,280,11.0
1591113983.2112303,281,9.0
1591113984.081269,282,14.0
1591113984.9539824,283,11.0
1591113985.8610961,284,8.0
1591113986.8046236,285,15.0
1591113987.6883237,286,10.0
1591113988.5950005,287,6.0
1591113989.434348,288,14.0
1591113990.4439144,289,9.0
1591113991.3504064,290,8.0
1591113992.2563384,291,-1.0
1591113993.2003398,292,10.0
1591113994.1747363,293,6.0
1591113995.1437516,294,3.0
1591113996.0398426,295,4.0
