Wall time,Step,Value
1591104660.9360955,1,0.0
1591104661.7219825,2,0.0
1591104662.5093324,3,0.0
1591104663.2775025,4,0.0
1591104664.041305,5,0.0
1591104664.8001812,6,-1.0
1591104665.5598557,7,0.0
1591104666.3670754,8,0.0
1591104667.1353498,9,1.0
1591104668.0889688,10,1.0
1591104668.9042053,11,0.0
1591104669.717808,12,2.0
1591104670.6078594,13,0.0
1591104671.5377674,14,-1.0
1591104672.3684888,15,1.0
1591104673.219018,16,0.0
1591104674.046952,17,0.0
1591104674.8954701,18,-1.0
1591104675.7207146,19,-1.0
1591104676.49172,20,0.0
1591104677.3405411,21,0.0
1591104678.1913304,22,1.0
1591104679.078271,23,1.0
1591104679.891172,24,-1.0
1591104680.7126784,25,-1.0
1591104681.4864564,26,-1.0
1591104682.2700067,27,2.0
1591104683.0303714,28,1.0
1591104683.8333626,29,-1.0
1591104684.6136749,30,1.0
1591104685.3858125,31,0.0
1591104686.1526024,32,1.0
1591104686.9165583,33,3.0
1591104687.7055013,34,-4.0
1591104688.612355,35,0.0
1591104689.621711,36,0.0
1591104690.6002686,37,0.0
1591104691.5138988,38,0.0
1591104692.3859863,39,1.0
1591104693.2597902,40,2.0
1591104694.1958733,41,2.0
1591104695.1490824,42,0.0
1591104696.104368,43,0.0
1591104696.9369268,44,3.0
1591104697.742132,45,1.0
1591104698.579292,46,0.0
1591104699.4063902,47,1.0
1591104700.2697375,48,1.0
1591104701.0951285,49,3.0
1591104701.9029143,50,0.0
1591104702.7354612,51,2.0
1591104703.625138,52,2.0
1591104704.5918944,53,0.0
1591104705.5245419,54,0.0
1591104706.3799164,55,-1.0
1591104707.3263724,56,0.0
1591104708.3128269,57,0.0
1591104709.2524698,58,1.0
1591104710.2071593,59,5.0
1591104711.1635985,60,-1.0
1591104712.1092916,61,0.0
1591104713.0923486,62,1.0
1591104713.9715765,63,1.0
1591104714.8630164,64,0.0
1591104715.7505462,65,-1.0
1591104716.6582084,66,0.0
1591104717.583229,67,3.0
1591104718.4953637,68,2.0
1591104719.3953748,69,1.0
1591104720.2962174,70,1.0
1591104721.2050297,71,1.0
1591104722.1220756,72,3.0
1591104723.0262663,73,3.0
1591104723.9378252,74,-2.0
1591104724.8420641,75,1.0
1591104725.741639,76,0.0
1591104726.713856,77,0.0
1591104727.6854532,78,3.0
1591104728.6750813,79,-1.0
1591104729.6732767,80,1.0
1591104730.6366174,81,4.0
1591104731.6718488,82,0.0
1591104732.5574772,83,1.0
1591104733.4919043,84,0.0
1591104734.4386113,85,0.0
1591104735.3003838,86,4.0
1591104736.2303774,87,1.0
1591104737.1976964,88,1.0
1591104738.1106193,89,3.0
1591104738.9814823,90,4.0
1591104739.8762908,91,1.0
1591104740.8980715,92,3.0
1591104741.9046946,93,0.0
1591104742.8850267,94,1.0
1591104743.7935498,95,0.0
1591104744.709314,96,0.0
1591104745.6120024,97,-2.0
1591104746.522287,98,2.0
1591104747.4438162,99,-2.0
1591104748.4022994,100,4.0
1591104749.3885818,101,0.0
1591104750.3159533,102,3.0
1591104751.2319329,103,2.0
1591104752.147217,104,1.0
