Wall time,Step,Value
1591105799.656708,1,0.0
1591105800.5021176,2,0.0
1591105801.3541772,3,-2.0
1591105802.2038732,4,1.0
1591105802.9953089,5,2.0
1591105803.7861092,6,-2.0
1591105804.5757244,7,0.0
1591105805.4458058,8,-1.0
1591105806.212559,9,0.0
1591105806.9696023,10,0.0
1591105807.7670293,11,-1.0
1591105808.5881307,12,-2.0
1591105809.3636868,13,-1.0
1591105810.1314492,14,1.0
1591105810.9118114,15,2.0
1591105811.737411,16,-2.0
1591105812.6207914,17,-1.0
1591105813.4020224,18,0.0
1591105814.2288094,19,0.0
1591105815.0103283,20,0.0
1591105815.7643523,21,0.0
1591105816.6157458,22,0.0
1591105817.5743961,23,0.0
1591105818.3356495,24,0.0
1591105819.1103816,25,1.0
1591105819.895266,26,0.0
1591105820.874758,27,-1.0
1591105821.9446728,28,0.0
1591105822.8285909,29,0.0
1591105823.7141047,30,0.0
1591105824.549881,31,0.0
1591105825.355079,32,1.0
1591105826.1161292,33,-2.0
1591105826.9132035,34,-1.0
1591105827.7186494,35,1.0
1591105828.5453286,36,-2.0
1591105829.3899643,37,1.0
1591105830.2287927,38,-1.0
1591105831.083553,39,1.0
1591105831.8967628,40,1.0
1591105832.6665685,41,2.0
1591105833.5551925,42,1.0
1591105834.308316,43,0.0
1591105835.0713959,44,2.0
1591105835.8557465,45,-2.0
1591105836.6943827,46,1.0
1591105837.5450983,47,3.0
1591105838.328353,48,2.0
1591105839.1060188,49,3.0
1591105839.8490226,50,3.0
1591105840.589088,51,4.0
1591105841.3743365,52,2.0
1591105842.2735076,53,2.0
1591105843.0420828,54,0.0
1591105843.8035214,55,-1.0
1591105844.5740237,56,-1.0
1591105845.3806787,57,0.0
1591105846.1949043,58,-2.0
1591105846.9617045,59,-1.0
1591105847.8477929,60,0.0
1591105848.635337,61,0.0
1591105849.4508297,62,4.0
1591105850.2146611,63,-1.0
1591105851.064996,64,4.0
1591105851.8406549,65,2.0
1591105852.6397946,66,3.0
1591105853.516106,67,0.0
1591105854.328765,68,4.0
1591105855.1636095,69,0.0
1591105855.995779,70,0.0
1591105856.8241513,71,3.0
1591105857.7173862,72,3.0
1591105858.5604396,73,3.0
1591105859.410019,74,2.0
1591105860.3522081,75,1.0
1591105861.3706129,76,2.0
1591105862.2569861,77,1.0
1591105863.1348422,78,5.0
1591105864.060333,79,4.0
1591105864.885225,80,0.0
1591105865.8254993,81,3.0
1591105866.6304064,82,3.0
1591105867.3905613,83,3.0
1591105868.2790058,84,-1.0
1591105869.1189785,85,-1.0
1591105870.0667686,86,0.0
1591105871.0161433,87,0.0
1591105871.9662955,88,1.0
1591105872.8472583,89,1.0
1591105873.7438412,90,3.0
1591105874.6367662,91,1.0
1591105875.458642,92,0.0
1591105876.2729254,93,1.0
1591105877.1278782,94,1.0
1591105877.9156098,95,4.0
1591105878.732847,96,0.0
1591105879.5319912,97,1.0
1591105880.3503442,98,3.0
1591105881.2249224,99,3.0
1591105882.149883,100,2.0
1591105882.97029,101,0.0
1591105883.8027978,102,5.0
1591105884.6767883,103,1.0
1591105885.5183623,104,-1.0
1591105886.3744605,105,6.0
1591105887.2138028,106,2.0
1591105888.0340874,107,4.0
1591105888.9330494,108,3.0
1591105889.7508416,109,8.0
1591105890.5994804,110,4.0
1591105891.5014045,111,1.0
1591105892.4745243,112,1.0
1591105893.3935368,113,5.0
1591105894.2714713,114,2.0
1591105895.2217455,115,3.0
1591105896.2383766,116,5.0
1591105897.1648555,117,4.0
1591105898.018687,118,3.0
1591105898.859663,119,1.0
1591105899.6840286,120,3.0
1591105900.5678587,121,2.0
1591105901.3563192,122,1.0
1591105902.1470618,123,0.0
1591105903.0994084,124,7.0
1591105903.9911253,125,8.0
1591105904.8638394,126,4.0
1591105905.746859,127,6.0
1591105906.6449552,128,2.0
1591105907.4585204,129,7.0
1591105908.328182,130,1.0
1591105909.17287,131,4.0
1591105910.128952,132,3.0
1591105911.137678,133,6.0
1591105912.044733,134,2.0
1591105912.9145634,135,4.0
1591105913.8614943,136,8.0
1591105914.7568643,137,1.0
1591105915.6346521,138,5.0
1591105916.4957352,139,4.0
1591105917.3758502,140,7.0
1591105918.3238285,141,5.0
1591105919.1734865,142,1.0
1591105920.0789406,143,1.0
1591105921.0819979,144,5.0
1591105922.1086779,145,10.0
1591105923.1038194,146,3.0
1591105923.9758177,147,2.0
1591105924.806084,148,4.0
1591105925.6858442,149,1.0
1591105926.5504262,150,11.0
1591105927.3942122,151,3.0
1591105928.402803,152,8.0
1591105929.3851688,153,3.0
1591105930.356725,154,3.0
1591105931.25641,155,8.0
1591105932.1643646,156,4.0
1591105933.13641,157,4.0
1591105934.150908,158,5.0
1591105935.1711283,159,4.0
1591105936.2636442,160,0.0
1591105937.2707837,161,3.0
1591105938.286764,162,7.0
1591105939.2942288,163,6.0
1591105940.230032,164,2.0
1591105941.1891158,165,8.0
1591105942.0524168,166,8.0
1591105942.9299812,167,6.0
1591105943.8110774,168,3.0
1591105944.6917453,169,0.0
1591105945.5752082,170,2.0
1591105946.552613,171,1.0
1591105947.5038116,172,6.0
1591105948.406044,173,1.0
1591105949.4834106,174,4.0
1591105950.5074682,175,9.0
1591105951.53805,176,6.0
1591105952.570441,177,11.0
1591105953.5993557,178,2.0
1591105954.5770447,179,2.0
1591105955.585801,180,6.0
1591105956.5845683,181,2.0
1591105957.5919452,182,8.0
1591105958.5243764,183,8.0
1591105959.4494681,184,6.0
1591105960.4231074,185,5.0
1591105961.4541152,186,11.0
1591105962.410207,187,8.0
1591105963.3703077,188,7.0
1591105964.292716,189,7.0
1591105965.2183218,190,5.0
1591105966.1413226,191,5.0
1591105967.0696201,192,7.0
1591105967.9981523,193,5.0
1591105968.987349,194,5.0
1591105969.9395754,195,6.0
1591105970.9639645,196,6.0
1591105971.9327424,197,7.0
1591105972.9072723,198,9.0
1591105973.8619232,199,7.0
1591105974.8006294,200,9.0
1591105975.7621624,201,9.0
1591105976.6958234,202,9.0
1591105977.6321254,203,7.0
1591105978.5809739,204,4.0
1591105979.5078797,205,6.0
1591105980.4586275,206,8.0
1591105981.42603,207,6.0
1591105982.4155123,208,5.0
1591105983.3609555,209,6.0
1591105984.3194132,210,9.0
1591105985.3338084,211,6.0
1591105986.3467774,212,8.0
1591105987.345989,213,6.0
1591105988.374513,214,11.0
1591105989.3483424,215,7.0
1591105990.219649,216,8.0
1591105991.1261973,217,10.0
1591105992.0201437,218,6.0
1591105992.8826385,219,4.0
1591105993.7783005,220,11.0
1591105994.630808,221,6.0
1591105995.6444347,222,10.0
1591105996.6243916,223,2.0
1591105997.5853236,224,9.0
1591105998.5571501,225,8.0
1591105999.47662,226,9.0
1591106000.3630972,227,12.0
1591106001.200676,228,5.0
1591106002.0550902,229,1.0
1591106002.941626,230,7.0
1591106003.8086662,231,11.0
1591106004.77379,232,5.0
1591106005.8250017,233,0.0
1591106006.8180735,234,6.0
1591106007.8433173,235,7.0
1591106008.8535717,236,9.0
1591106009.936139,237,9.0
1591106010.9561787,238,5.0
1591106011.9831038,239,5.0
