Wall time,Step,Value
1591106868.9979458,1,0.0
1591106869.9008772,2,0.0
1591106870.7964523,3,-2.0
1591106871.7006385,4,4.0
1591106872.6722133,5,3.0
1591106873.6890428,6,1.0
1591106874.635099,7,2.0
1591106875.6806185,8,0.0
1591106876.614647,9,-1.0
1591106877.5635536,10,0.0
1591106878.5961123,11,0.0
1591106879.660562,12,2.0
1591106880.7900617,13,2.0
1591106881.9356284,14,1.0
1591106883.074948,15,1.0
1591106884.2104404,16,-2.0
1591106885.2935317,17,0.0
1591106886.4492464,18,-1.0
1591106887.6529675,19,1.0
1591106888.974478,20,1.0
1591106890.2583504,21,1.0
1591106891.332935,22,-1.0
1591106892.375137,23,2.0
1591106893.4113579,24,1.0
1591106894.5132453,25,-1.0
1591106895.6732872,26,0.0
1591106896.8374732,27,-2.0
1591106898.0701501,28,0.0
1591106899.273842,29,-1.0
1591106900.4523714,30,-1.0
1591106901.6430366,31,3.0
1591106902.9446104,32,1.0
1591106904.2514336,33,0.0
1591106905.4869616,34,-1.0
1591106906.894644,35,3.0
1591106908.1897717,36,-1.0
1591106909.6802313,37,3.0
1591106911.081811,38,1.0
1591106912.5342717,39,-1.0
1591106913.8660333,40,0.0
1591106915.4603822,41,1.0
1591106917.099211,42,0.0
1591106918.4981153,43,3.0
1591106919.9448078,44,1.0
1591106921.356132,45,2.0
1591106922.6766539,46,-1.0
1591106924.4163523,47,-1.0
1591106926.02524,48,-2.0
1591106927.460522,49,0.0
1591106928.884971,50,-1.0
1591106930.3094327,51,2.0
1591106931.770887,52,-1.0
1591106933.3213978,53,0.0
1591106935.120473,54,3.0
1591106936.670243,55,-1.0
1591106938.343954,56,2.0
1591106939.9744332,57,1.0
1591106941.6384509,58,3.0
1591106943.398579,59,0.0
1591106945.1433642,60,0.0
1591106946.8263893,61,0.0
1591106948.691006,62,0.0
1591106950.6590285,63,2.0
1591106952.5818849,64,3.0
1591106954.3998983,65,1.0
1591106956.2454407,66,2.0
1591106958.0139809,67,-1.0
1591106959.7888641,68,3.0
1591106961.632548,69,3.0
1591106963.4252398,70,1.0
1591106965.3207505,71,2.0
1591106967.2532825,72,2.0
1591106969.3883502,73,2.0
1591106971.37131,74,1.0
1591106973.46284,75,0.0
1591106975.4824836,76,4.0
1591106977.446721,77,3.0
1591106979.3654373,78,2.0
1591106981.2812552,79,-1.0
1591106983.3340635,80,2.0
1591106985.4573357,81,2.0
1591106987.690221,82,4.0
1591106989.6281817,83,1.0
1591106991.7411509,84,2.0
1591106993.9058852,85,0.0
1591106995.932554,86,2.0
1591106997.9661596,87,0.0
1591107000.0750716,88,1.0
1591107002.1449273,89,1.0
1591107004.194511,90,-2.0
1591107006.5056129,91,0.0
1591107008.8228593,92,3.0
1591107011.229424,93,1.0
1591107013.458496,94,2.0
1591107015.6042814,95,2.0
1591107017.847814,96,1.0
1591107020.057071,97,4.0
1591107022.1224053,98,2.0
1591107024.2367084,99,4.0
1591107026.3434165,100,-2.0
1591107028.463416,101,1.0
1591107030.662615,102,1.0
1591107032.8924236,103,2.0
1591107035.0762923,104,1.0
1591107037.2234757,105,1.0
1591107039.441807,106,1.0
1591107041.888193,107,2.0
1591107044.4639287,108,-1.0
1591107046.982758,109,2.0
1591107049.3584642,110,2.0
1591107052.1797276,111,2.0
1591107054.5676022,112,5.0
1591107057.2491856,113,0.0
1591107060.015769,114,2.0
1591107062.7528389,115,0.0
1591107065.2724805,116,1.0
1591107067.8521001,117,2.0
1591107070.5066848,118,1.0
1591107073.4000857,119,2.0
1591107076.023067,120,1.0
1591107078.8590772,121,5.0
1591107081.4182343,122,2.0
1591107084.1435106,123,5.0
1591107087.0064578,124,0.0
1591107089.8545756,125,2.0
1591107092.6088345,126,3.0
1591107095.478396,127,6.0
1591107098.4679646,128,5.0
1591107101.1443698,129,8.0
1591107103.8946497,130,1.0
1591107106.5190747,131,5.0
1591107109.1951225,132,4.0
1591107111.868186,133,2.0
1591107114.6291766,134,6.0
1591107117.3851492,135,5.0
1591107120.1779559,136,3.0
1591107122.9191594,137,2.0
1591107125.5636704,138,-1.0
1591107128.3455145,139,3.0
1591107131.2811005,140,0.0
1591107134.1026733,141,1.0
1591107136.968319,142,3.0
1591107139.8666542,143,1.0
1591107142.7589874,144,8.0
1591107145.673221,145,4.0
1591107148.4696329,146,1.0
1591107151.3367102,147,2.0
1591107154.2257955,148,4.0
1591107157.2108796,149,1.0
1591107160.1619077,150,2.0
1591107163.4250507,151,2.0
1591107166.4240553,152,3.0
1591107169.5163999,153,2.0
1591107172.5114787,154,1.0
1591107175.4715953,155,2.0
1591107178.479468,156,4.0
1591107181.9082482,157,2.0
1591107185.189444,158,6.0
1591107188.5518115,159,1.0
1591107191.7006853,160,6.0
1591107194.7730932,161,3.0
1591107197.789762,162,1.0
1591107200.9853568,163,6.0
1591107204.1605253,164,0.0
1591107207.4163709,165,0.0
1591107210.8264556,166,0.0
1591107214.2098591,167,5.0
1591107217.543646,168,9.0
1591107220.908482,169,0.0
1591107224.2095842,170,6.0
1591107227.713651,171,4.0
1591107231.217531,172,2.0
1591107234.8076,173,3.0
1591107238.3431234,174,6.0
1591107241.927321,175,1.0
1591107245.4744146,176,4.0
1591107249.087238,177,3.0
1591107252.5018945,178,3.0
1591107256.1605604,179,4.0
1591107259.7490716,180,3.0
1591107263.2570934,181,4.0
1591107267.2041733,182,0.0
1591107270.5493412,183,6.0
1591107274.2205417,184,6.0
1591107278.0242977,185,8.0
1591107281.5329862,186,3.0
1591107285.0715518,187,3.0
1591107288.6069112,188,6.0
1591107292.087974,189,8.0
1591107295.779469,190,1.0
1591107299.3731394,191,3.0
1591107303.3624778,192,4.0
1591107307.5659037,193,7.0
1591107311.5631077,194,1.0
1591107315.3730013,195,5.0
1591107319.2244494,196,6.0
1591107323.0210574,197,3.0
1591107327.5168169,198,1.0
1591107331.3488863,199,2.0
1591107335.5004604,200,5.0
1591107339.237937,201,0.0
1591107342.8845832,202,2.0
1591107346.5127077,203,2.0
1591107350.2154675,204,2.0
1591107354.002207,205,2.0
1591107357.967593,206,3.0
1591107361.9323065,207,2.0
1591107366.0560403,208,7.0
1591107370.3004897,209,2.0
1591107374.0460446,210,12.0
1591107377.803854,211,9.0
1591107381.6545532,212,10.0
1591107385.435367,213,6.0
1591107389.232471,214,13.0
1591107393.2894616,215,8.0
1591107397.3616562,216,9.0
1591107401.491478,217,2.0
1591107405.567479,218,4.0
1591107409.543447,219,2.0
1591107413.9956777,220,8.0
1591107418.1102304,221,4.0
1591107422.3148284,222,3.0
1591107426.7676399,223,7.0
1591107430.919168,224,1.0
1591107435.3152459,225,2.0
1591107439.5450807,226,9.0
1591107444.3531864,227,9.0
1591107448.768299,228,7.0
1591107452.8824828,229,6.0
1591107457.4037447,230,9.0
1591107462.4020183,231,9.0
1591107467.2406795,232,8.0
1591107471.932229,233,3.0
1591107476.647937,234,7.0
1591107481.3818436,235,4.0
1591107486.1916177,236,6.0
1591107491.0657113,237,6.0
1591107495.5092041,238,6.0
1591107500.2300148,239,4.0
1591107504.9249213,240,9.0
1591107509.3502045,241,11.0
1591107513.8792872,242,9.0
1591107518.4295242,243,6.0
1591107522.8138425,244,7.0
1591107527.4761503,245,9.0
1591107532.0877767,246,7.0
1591107536.7858486,247,3.0
1591107541.4737568,248,7.0
1591107546.030337,249,5.0
1591107550.5718021,250,8.0
1591107555.0270646,251,10.0
1591107559.648195,252,0.0
1591107564.1881275,253,12.0
1591107568.6800654,254,3.0
1591107573.2939527,255,8.0
1591107578.1200907,256,6.0
1591107582.6601455,257,11.0
1591107587.5515664,258,5.0
1591107592.3352337,259,6.0
1591107597.310936,260,8.0
1591107602.0672724,261,11.0
1591107606.9226997,262,4.0
1591107611.922387,263,6.0
1591107616.776793,264,9.0
1591107621.5091176,265,8.0
1591107626.495545,266,8.0
1591107631.3337128,267,8.0
1591107636.1929033,268,-1.0
1591107640.960085,269,2.0
1591107645.8169918,270,8.0
1591107650.7084916,271,8.0
1591107655.900623,272,9.0
1591107660.790119,273,6.0
1591107665.8000226,274,4.0
1591107670.64693,275,6.0
1591107675.658141,276,6.0
1591107680.9042025,277,9.0
1591107686.2320542,278,4.0
1591107691.3994899,279,3.0
1591107696.461362,280,11.0
1591107701.6455452,281,10.0
1591107707.584408,282,3.0
1591107713.597573,283,11.0
1591107719.762471,284,6.0
1591107725.0092103,285,12.0
1591107730.2704515,286,8.0
1591107735.4438372,287,10.0
1591107740.7818143,288,8.0
1591107746.500758,289,12.0
1591107752.2560964,290,5.0
1591107757.6016316,291,8.0
1591107763.26294,292,7.0
1591107769.4524746,293,6.0
1591107775.3471673,294,10.0
1591107782.081483,295,11.0
1591107789.1258442,296,10.0
1591107796.4304159,297,10.0
1591107803.5772173,298,7.0
1591107810.5084488,299,4.0
1591107817.6572504,300,12.0
1591107824.4958653,301,6.0
1591107831.5107644,302,6.0
1591107837.858188,303,4.0
1591107844.151211,304,12.0
1591107850.6477988,305,10.0
1591107857.0832114,306,7.0
1591107863.5325289,307,14.0
1591107870.165299,308,18.0
1591107876.6157348,309,8.0
1591107883.1573834,310,6.0
1591107889.6050737,311,6.0
1591107896.3583732,312,15.0
1591107902.9069464,313,10.0
1591107909.4772267,314,2.0
1591107915.822394,315,10.0
1591107922.0917447,316,8.0
1591107928.356234,317,5.0
1591107934.7015853,318,13.0
1591107940.9929075,319,12.0
1591107947.333871,320,7.0
1591107953.7727518,321,10.0
1591107960.5683126,322,7.0
1591107966.4876895,323,12.0
1591107972.8597147,324,14.0
1591107979.0693607,325,6.0
1591107985.3726065,326,5.0
1591107992.0647087,327,14.0
1591107998.9894423,328,14.0
1591108005.6317377,329,12.0
1591108012.3803113,330,16.0
1591108019.241431,331,6.0
1591108026.061492,332,9.0
1591108032.8931258,333,15.0
1591108039.7108126,334,5.0
1591108046.5596695,335,13.0
1591108053.495805,336,7.0
1591108060.4789634,337,11.0
1591108067.4601939,338,-1.0
1591108074.5087407,339,9.0
1591108081.6417074,340,8.0
1591108088.853845,341,9.0
1591108095.7495441,342,9.0
1591108102.6551652,343,8.0
1591108109.6370492,344,13.0
1591108116.5451198,345,11.0
1591108123.4085674,346,10.0
1591108130.3074207,347,7.0
1591108137.132401,348,11.0
1591108143.946891,349,14.0
1591108150.760256,350,13.0
1591108157.8700078,351,9.0
1591108165.336677,352,11.0
1591108172.7800312,353,12.0
1591108180.1577625,354,7.0
1591108187.4323907,355,14.0
1591108194.8123236,356,11.0
1591108202.6334734,357,13.0
1591108209.8170214,358,10.0
1591108216.641324,359,1.0
1591108223.4147308,360,8.0
1591108230.3483136,361,16.0
1591108237.2399056,362,10.0
1591108244.3393915,363,10.0
1591108251.2803447,364,11.0
1591108258.0740452,365,11.0
1591108264.9896924,366,13.0
1591108272.636252,367,6.0
1591108279.681466,368,17.0
1591108286.96457,369,8.0
1591108294.4843936,370,14.0
1591108302.0618324,371,13.0
1591108309.601035,372,10.0
1591108316.8396084,373,9.0
1591108324.3273509,374,13.0
1591108332.031316,375,10.0
1591108339.044648,376,12.0
1591108347.283393,377,10.0
1591108355.2852519,378,11.0
1591108362.841239,379,12.0
1591108370.0504503,380,6.0
1591108377.3891814,381,12.0
1591108384.8299956,382,7.0
1591108392.4080536,383,11.0
1591108399.901721,384,7.0
1591108407.1094322,385,11.0
1591108415.331772,386,15.0
1591108423.2415295,387,14.0
1591108431.016966,388,9.0
1591108438.2760212,389,11.0
1591108445.4167175,390,11.0
1591108452.6252193,391,7.0
1591108460.16091,392,13.0
1591108466.6154354,393,17.0
1591108473.7372587,394,7.0
1591108480.7791014,395,6.0
1591108488.134258,396,10.0
1591108495.3136058,397,13.0
1591108502.487383,398,14.0
1591108509.6258016,399,9.0
1591108516.8670835,400,10.0
1591108523.9972973,401,12.0
1591108531.2367802,402,15.0
1591108538.416079,403,16.0
1591108545.6089807,404,12.0
1591108552.6530032,405,11.0
1591108559.4067678,406,9.0
1591108566.517812,407,11.0
1591108573.635893,408,13.0
1591108581.1706846,409,14.0
1591108588.8761096,410,6.0
1591108596.4127822,411,11.0
1591108604.0791097,412,6.0
1591108611.5481174,413,7.0
1591108619.3059912,414,12.0
1591108627.0829847,415,9.0
1591108634.744601,416,13.0
1591108642.2273264,417,8.0
1591108648.9075577,418,13.0
1591108655.5524242,419,16.0
1591108662.5091045,420,9.0
1591108669.5725574,421,13.0
1591108676.6622622,422,17.0
1591108683.9663432,423,12.0
1591108690.922787,424,13.0
1591108697.4618838,425,15.0
1591108703.896817,426,19.0
1591108711.1843708,427,7.0
1591108718.725228,428,7.0
1591108725.8675802,429,11.0
1591108732.953629,430,11.0
1591108740.0898702,431,11.0
1591108747.3304963,432,12.0
1591108754.84854,433,10.0
1591108762.4487185,434,10.0
1591108769.5445526,435,14.0
1591108776.8106575,436,9.0
1591108783.9343424,437,11.0
1591108791.0646276,438,12.0
1591108798.1780033,439,11.0
1591108805.309027,440,14.0
1591108812.5699086,441,14.0
1591108820.1054,442,15.0
1591108826.9006803,443,15.0
1591108834.4300778,444,14.0
1591108841.6912634,445,11.0
1591108848.8789513,446,16.0
1591108856.1667767,447,9.0
1591108864.1107621,448,9.0
1591108871.6230721,449,11.0
1591108879.482902,450,11.0
1591108886.5263908,451,15.0
1591108893.8669484,452,14.0
1591108901.0167756,453,14.0
1591108908.4964125,454,10.0
1591108915.8729374,455,12.0
1591108923.1070447,456,9.0
1591108930.3296824,457,11.0
1591108937.6528409,458,11.0
1591108944.867345,459,12.0
1591108952.0531127,460,12.0
1591108959.159721,461,11.0
1591108966.0837803,462,17.0
1591108973.29622,463,9.0
1591108980.4585423,464,14.0
1591108987.7953153,465,15.0
1591108995.0115998,466,5.0
1591109002.2855237,467,14.0
1591109010.0067797,468,6.0
1591109017.4698489,469,16.0
1591109024.7850072,470,16.0
1591109032.2629027,471,22.0
1591109039.8966746,472,15.0
1591109047.3603466,473,19.0
1591109054.8817306,474,10.0
1591109062.7899897,475,9.0
1591109070.187314,476,12.0
1591109077.773993,477,9.0
1591109085.3457527,478,13.0
1591109092.739335,479,16.0
1591109100.3311994,480,15.0
1591109107.7101927,481,9.0
1591109114.986758,482,11.0
1591109122.2915862,483,8.0
1591109129.787812,484,10.0
1591109137.2953165,485,9.0
1591109145.1834457,486,12.0
1591109152.8122108,487,6.0
1591109160.3119073,488,18.0
1591109167.7850177,489,16.0
1591109175.2838275,490,18.0
1591109183.09391,491,12.0
1591109190.7288797,492,11.0
1591109198.5809352,493,8.0
1591109206.1498635,494,17.0
1591109213.6253781,495,15.0
1591109221.3400583,496,15.0
1591109228.6181269,497,6.0
1591109237.3590255,498,12.0
1591109245.0668287,499,12.0
1591109252.3932948,500,14.0
1591109260.5674417,501,16.0
1591109268.2787004,502,15.0
1591109275.7670484,503,13.0
1591109283.5376885,504,14.0
1591109290.9779305,505,11.0
1591109298.4236126,506,9.0
1591109305.7638402,507,12.0
1591109313.3514109,508,10.0
1591109321.0822055,509,12.0
1591109328.6630712,510,12.0
1591109338.0683274,511,19.0
1591109345.766029,512,8.0
1591109353.4468703,513,17.0
1591109362.1865914,514,10.0
1591109370.9211497,515,8.0
1591109379.623862,516,10.0
1591109387.8029394,517,13.0
1591109395.4700878,518,10.0
1591109402.954863,519,12.0
1591109410.4799755,520,14.0
1591109418.0301301,521,13.0
1591109425.7454958,522,12.0
1591109433.6428063,523,18.0
1591109441.2072234,524,15.0
1591109449.5082643,525,14.0
1591109457.6311185,526,14.0
1591109465.5648596,527,11.0
1591109472.7735178,528,17.0
1591109480.2512417,529,16.0
1591109487.5525975,530,7.0
1591109494.6318424,531,4.0
1591109501.8072126,532,7.0
1591109508.9003096,533,13.0
